id,category,regional_word,standard_word,en_word,regional_sentence,standard_sentence,en_sentence,word_type
1,"word","zevzek","geveze","chatterbox","O çok zevzek biri.","O çok geveze biri.","He is a real chatterbox.","adjective"
2,"word","aba","abla","elder sister", "Abamı çok severim.","Ablamı çok severim.","I love my elder sister.","noun"
3,"word","acer","taze","fresh","Bu yeşillikler daha yeni toplandı, acerdir.","Bu yeşillikler daha yeni toplandı, tazedir.","These greens are fresh, just picked.","noun"
4,"word","ağar","eğer","if","Ağar oraya gidersen beni ara.","Eğer oraya gidersen beni ara.","If you go there, call me.","conjunction"
5,"word","geren","deniz börülcesi","sea beans","Annem geren salatası yapmış.","Annem deniz börülcesi salatası yapmış.","My mom made sea bean salad.","noun"
6,"word","bıdık","minik","little","Seni gidi bıdık şey.","Seni gidi minik şey.","You little thing.","adjective"
7,"word","ceyran","elektrik","electric","Ceyranlar kesildi.","Elektrikler kesildi.","Electricity went out.","noun"
8,"word","cimcik","tutam","pinch","Bir cimcik tuz katar mısın?","Bir tutam tuz katar mısın?","Can you add a pinch of salt?","noun"
9,"word","çimmek","banyo yapmak","take a bath","İçeride çimiyor.","İçeride banyo yapıyor.","He is taking a bath inside.","verb"
10,"word","dombalak","takla atmak","do a somersault","Dombalak ata ata geliyor.","Takla ata ata geliyor.","She's coming in a somersault.","verb"
11,"word","dulluk","favori, saç yanında uzanan saç","sideburns","Dullukların baya uzamış.","Favorilerin baya uzamış.","Your sideburns have grown quite a bit.","noun"
12,"word","dölek","doğru,düz","straight","Dölek dur bakayım.","Düz dur bakayım.","Stand straight let me see.","noun"
13,"word","elbiz","örümcek","spider","Elbizden çok korkarım.","Örümcekten çok korkarım.","I am very afraid of spiders.","noun"
14,"word","essah","doğru","right","Essah diyon?","Doğru diyorsun?","You say right?","noun"
15,"word","evlek","bölüm","part","Evin bu evleği çok güzel olmuş.","Evin bu bölümü çok güzel olmuş.","This part of the house is very nice.","noun"
16,"word","evmek","acele etmek","to hurry","Trene yetişmek için eviyordu.","Trene yetişmek için acele ediyordu.","She was in a hurry to catch the train.","noun"
17,"word","feramak","dinlenmek","to rest","Feramak için içeriye geçti.","Dinlenmek için içeriye geçti.","He went inside to rest.","verb"
18,"word","ferfene","toplu yemek","group meal","Bu akşam ferfene yenilecek.","Bu akşam toplu yemek yenilecek.","There will be a group meal this evening.","noun"
19,"word","fışkı","gübre","fertilizer","Fışkıları tarlaya götürmek için römorka yerleştirdi.","Gübreleri tarlaya götürmek için römorka yerleştirdi.","She placed the fertilizer on the trailer to take it to the field.","noun"
20,"word","fos","boş","empty","Kutuların içleri fos çıktı.","Kutuların içleri boş çıktı.","The boxes were empty.","noun"
21,"word","gabala","ölçü","measurement","Şu kasanın gabalasını al.","Şu kasanın ölçüsünü al.","Take the measurements of this safe.","noun"
22,"word","gaham","akraba","relative","Bu akşam bize gahamlar gelecek.","Bu akşamlar akrabalar bize gelecek.","Relatives will come to us this evening.","noun"
23,"word","gambak","ufak ağaç parçası","small piece of wood","Rüzgardan sonra her yer gambaklar ile dolmuştu.","Rüzgardan sonra her yer ufak ağaç parçaları ile dolmuştu.","After the wind, the whole place was filled with small pieces of wood.","noun"
24,"word","ganara","doyumsuz","insatiable","Ganaralık yapıp fazla fazla almışsın.","Doyumsuzluk yapıp fazla fazla almışsın.","You were insatiable and took too much","noun"
25,"word","garalt","söndür","put out","Çabuk ateşi garalt.","Çabuk ateşi söndür.","Put out the fire quickly.","noun"
26,"word","ende","burada","here","Ende çok güzel olmuş.","Burada çok güzel olmuş.","It's been great here.","noun"
27,"word","giçişmek","kaşınmak","itching","Bütün gün giçişip durdu.","Bütün gün kaşınıp durdu.","He itched all day long.","verb"
28,"word","gobel","erkek çocuk","boy","Sizin gobel sabahtan beri sokakta oynuyor.","Sizin çocuk sabahtan beri sokakta oynuyor.","Your boy has been playing on the street since the morning.","noun"
29,"word","goğ","dedikodu","gossip","Bizimkiler bir araya geldi mi hep goğ yaparlar.","Bizimkiler bir araya geldi mi hep dedikodu yaparlar.","When our people get together, they always gossip.","noun"
30,"word","gop","koş","run","Gop Forest gop.","Koş Forest koş.","Run Forest run.","verb"
31,"word","guşene","büyük tencere","big pot","Yeni bir guşene almış.","Yeni büyük bir tencere almış.","He bought a new big pot.","noun"
32,"word","gübür","çöp","garbage","Oğlum gübürü çıkarır mısın?","Oğlum çöpü çıkarır mısın?","Son, can you take out the garbage?","noun"
33,"word","goo","olgunlaşmamış","unripe","Bu erikler daha goo.","Bu erikler daha olgunlaşmamış.","These plums are not ripe yet.","noun"
34,"word","hayat","avlu","yard","Hayata çıkıp biraz hava alalım.","Avluya çıkıp biraz hava alalım.","Let's go out to the yard and get some air.","noun"
35,"word","horanta","ev halkı","household","Horanta bu olaya bir şey demedi.","Ev halkı bu olaya bir şey demedi.","The household did not say anything about this incident.","noun"
36,"word","herslenmek","sinirlenmek","get angry","Hemen hersleniyorsun.","Hemen sinirleniyorsun.","You get angry immediately","verb"
37,"word","hortuklu","sümüklü","snotty","Hortuklu burun çeke çeke geldi.","Sümüklü burun çeke çeke geldi.","He came in with his snotty nose sniffling.","adjective"
38,"word","ıcık","az","little","Projesini bitirmek için çok ıcık zamanı var.","Projesini bitirmek için çok az zamanı var.","She has very little time to finish her project.","adjective"
39,"word","ısmarıç","sipariş vermek","order","Bize yemek ısmarıçladı.","Bize yemek sipariş verdi","She ordered food for us.","verb"
40,"word","icicik","azıcık","little","Zamanında varacağına dair icicik umudum yok.","Zamanında varacağına dair azıcık umudum yok.","I have little hope that he will arrive on time.","adjective"
41,"word","ilistir","kevgir","colander","İlistir ile suyunu süzdü.","Kevgir ile suyunu süzdü.","She drained the water with a colander.","noun"
42,"word","kiri","eşek yavrusu","baby donkey","Kirilere bak çok tatlılar.","Eşek yavrularına bak çok tatlılar.","Look at the donkey babies, they are so cute.","noun"
43,"word","lalanmak","taklit etmek","imitate","Benim konuşmamı hep lalalıyor.","Benim konuşmamı hep taklit ediyor.","He always imitates the way I talk.","verb"
44,"word","mahana","bahane","excuse","Yine yeni bir mahana üretmiş.","Yine yeni bir bahane üretmiş.","She made a new excuse again.","noun"
45,"word","mavgunat","römork","trailer","Bu mavgunat çok eskimiş.","Bu römork çok eskimiş.","This trailer is very old","noun"
46,"word","milek","çamur","mud","Çocuklar milekte oynamayı çok seviyorlar.","Çocuklar çamurda oynamayı çok seviyorlar.","Children love playing in mud.","noun"
47,"word","öpçe","şımarık","spoiled","Yeni nesil çok öpçe.","Yeni nesil çok şımarık.","The new generation is so spoiled.","noun"
48,"word","oğnük","önlük","apron","Kendine mutfakta kullanmak için yeni bir oğnük aldı.","Kendine mutfakta kullanmak için yeni bir önlük aldı.","She bought herself a new apron to use in the kitchen.","noun"
49,"word","peşkir","havlu","towel","Banyodaki peşkiri kullanabilirsiniz.","Banyodaki havluyu kullanabilirsiniz.","You can use the towel in the bathroom.","noun"
50,"word","pırtma","hedefi ıskaladı","miss the mark","Bu atışı ile pırtmaladı.","Bu atışı ile hedefi ıskaladı.","He missed the target with this shot.","noun"
51,"word","pörçüklü","havuç","carrot","Pazardan pörçüklü almış.","Pazardan havuç almış.","He bought carrots from the market.","noun"
52,"word","abara","oluk","water spout","Abara'dan su akıyor.","Oluktan su akıyor.","Water is flowing from the spout.","noun"
53,"word","abbağ","çok beyaz","very white","Bu abbağ yastık çok rahat.","Bu beyaz yastık çok rahat.","This very white pillow is very comfortable.","adjective"
54,"word","acar","yeni","new","Bu acar elbiseyi çok beğendim.","Bu yeni elbiseyi çok beğendim.","I really liked this new dress.","adjective"
55,"word","acimcik","çok az","very little","Bana acimcik ekmek ver.","Bana çok az ekmek ver.","Give me very little bread.","adjective"
56,"word","alaf şalaf","gereksiz ot","useless weed","Bu alaf şalafları temizlememiz lazım.","Bu gereksiz otları temizlememiz lazım.","We need to clean these useless weeds.","noun"
57,"word","ağaz","hayvanların ilk sütü","first milk of animals","Buzağının ağazı çok faydalıdır.","Buzağının ilk sütü çok faydalıdır.","The calf's first milk is very beneficial.","noun"
58,"word","ağal","bahçe kenarını çalıyla çevirmek","fence with branches","Ağal yaparak bahçeyi korudular.","Çalılarla çevreleyerek bahçeyi korudular.","They protected the garden by fencing it with branches.","verb"
59,"word","ağar","ağır","heavy","Bu yük çok ağar geldi.","Bu yük çok ağır geldi.","This load felt very heavy.","adjective"
60,"word","ağca","pamuk ipliği yaygısı","mat","Ağca'yı serip bulgur kuruttular.","Yaygıyı serip bulgur kuruttular.","They spread the mat to dry the bulgur.","noun"
61,"word","ahacıka","işte","here it is","Ahacıka ekmek geldi.","İşte ekmek geldi.","Here is the bread.","interjection"
62,"word","ahancık","işte bu","this one","Ahancık senin aradığın anahtar.","İşte bu senin aradığın anahtar.","This is the key you were looking for.","interjection"
63,"word","akaba","eğim","slope","Yolun akabasına dikkat et.","Yolun eğimine dikkat et.","Watch out for the slope of the road.","noun"
64,"word","alaancık","karınca","ant","Alaancıklar çok fazlalaştı.","Karıncalar çok fazlalaştı.","The ants have increased a lot.","noun"
65,"word","amanat","emanet","entrusted item","Bu amanatı ona verdim.","Bu emaneti ona verdim.","I gave this entrusted item to him.","noun"
66,"word","alafa gitmek","düşünmeden gitmek","leave without thinking","O alafa gidip geldi.","O düşünmeden gidip geldi.","He went and came back without thinking.","verb"
67,"word","alemençik","serçe benzeri kuş","sparrow-like bird","Alemençik bahçede uçuşuyor.","Serçe bahçede uçuşuyor.","A sparrow is flying in the garden.","noun"
68,"word","aleverti","boşu boşuna","for nothing","Bu işleri aleverti yapıyoruz.","Bu işleri boşu boşuna yapıyoruz.","We are doing these things for nothing.","adverb"
69,"word","aleyciği","hepsi","all","Aleyciği orada toplandı.","Hepsi orada toplandı.","They all gathered there.","pronoun"
70,"word","aleyçik","çadır","tent","Aleyçik kurdular yaylaya.","Çadır kurdular yaylaya.","They set up a tent in the highlands.","noun"
71,"word","alkış verme","dua etme","pray","Bize alkış verin.","Bize dua edin.","Pray for us.","verb"
72,"word","angara","imece","cooperative work","Angara yaparak işleri bitirdik.","İmece yaparak işleri bitirdik.","We finished the work by cooperating.","noun"
73,"word","annac","karşı yamaç","opposite slope","Annac taraf çok dik.","Karşı yamaç çok dik.","The opposite slope is very steep.","noun"
74,"word","apışma","durup kalmak","freeze","O haberi duyunca apıştı.","O haberi duyunca durup kaldı.","He froze when he heard the news.","verb"
75,"word","arısilli","tertemiz","spotless","Ev arısilli olmuş.","Ev tertemiz olmuş.","The house has become spotless.","adjective"
76,"word","ahbap","giysi, çamaşır","clothes","Ahbaplarını yıkadı.","Çamaşırlarını yıkadı.","She washed her clothes.","noun"
77,"word","aşşa","aşağı","down","Aşşa inme.","Aşağı inme.","Don't go down.","adverb"
78,"word","avırt","yanak","cheek","Onun avırtları kızardı.","Onun yanakları kızardı.","His cheeks turned red.","noun"
79,"word","azzık","yiyecek","food","Yolda azzık bulamadık.","Yolda yiyecek bulamadık.","We couldn't find food on the way.","noun"
80,"word","baldırcan","patlıcan","eggplant","Baldırcan kızartması yaptık.","Patlıcan kızartması yaptık.","We made eggplant fries.","noun"
81,"word","balk","yıldırım","lightning","Balk düştü.","Yıldırım düştü.","Lightning struck.","noun"
82,"word","bedirik","çeyiz","dowry","Kızın bediriğini hazırladılar.","Kızın çeyizini hazırladılar.","They prepared the girl's dowry.","noun"
83,"word","belcene","kurutulmuş incir","dried fig","Belcene getirip sattılar.","Kurutulmuş incir getirip sattılar.","They brought and sold dried figs.","noun"
84,"word","berk","çok sıkı","very tight","Bu ip çok berk bağlanmış.","Bu ip çok sıkı bağlanmış.","This rope is tied very tightly.","adjective"
85,"word","bıldır","geçen sene","last year","Bıldır çok kar yağdı.","Geçen sene çok kar yağdı.","Last year, it snowed a lot.","noun"
86,"word","bılız","yaramaz çocuk","naughty child","O bılız hep ortalığı karıştırır.","O yaramaz çocuk hep ortalığı karıştırır.","That naughty child always causes trouble.","noun"
87,"word","bibi","hala","aunt","Bibi bize geldi.","Hala bize geldi.","Aunt came to visit us.","noun"
88,"word","bider","tohum","seed","Biderleri ektik.","Tohumları ektik.","We planted the seeds.","noun"
89,"word","birti","biraz","a little","Birti daha yemek kaldı.","Biraz daha yemek kaldı.","There is a little more food left.","adverb"
90,"word","bişet","bir şey","something","Bişet var mı?","Bir şey var mı?","Is there something?","pronoun"
91,"word","bişme","güveç","stew","Bişme pişiriyoruz.","Güveç pişiriyoruz.","We are cooking stew.","noun"
92,"word","bocit","sürahi","pitcher","Bocit dolmuş.","Sürahi dolmuş.","The pitcher is full.","noun"
93,"word","biyaktan","az önce","just now","Biyaktan buradaydı.","Az önce buradaydı.","He was here just now.","adverb"
94,"word","börk","takke","cap","Börkünü taktı.","Takkesini taktı.","He put on his cap.","noun"
95,"word","börkenek","kapşon","hood","Börkenek giydi.","Kapşon giydi.","He wore a hood.","noun"
96,"word","buncaaz","bu kadar","this much","Buncaaz kalmış.","Bu kadar kalmış.","Only this much is left.","adverb"
97,"word","buncalı","bu sefer","this time","Buncalı olmayacak.","Bu sefer olmayacak.","It won't happen this time.","adverb"
98,"word","bük","çalılık","bush","Büklerin arasında kayboldu.","Çalılıkların arasında kayboldu.","He got lost among the bushes.","noun"
99,"word","büvet","su göleti","pond","Büvet dolmuş.","Su göleti dolmuş.","The pond is full.","noun"
100,"word","bunmuak","bunalmak","feel suffocated","Odasında bunmuak kaldı.","Odasında bunalıp kaldı.","He felt suffocated in his room.","verb"
101,"word","cardın","büyük fare","big rat","Cardın gördük.","Büyük bir fare gördük.","We saw a big rat.","noun"
102,"word","cangama","laf kalabalığı","chatter","Bu ne cangama böyle?","Bu ne laf kalabalığı böyle?","What is all this chatter?","noun"
103,"word","calap","sulu kar","slush","Calap yağıyor.","Sulu kar yağıyor.","Slush is falling.","noun"
104,"word","caalak","çağlayan","waterfall","Caalak çok güzel akıyor.","Çağlayan çok güzel akıyor.","The waterfall is flowing beautifully.","noun"
105,"word","cecit","yepyeni","brand new","Bu ceket cecitmiş.","Bu ceket yepyeniymiş.","This jacket is brand new.","adjective"
106,"word","cehez","çeyiz","dowry","Cehezi hazırladılar.","Çeyizi hazırladılar.","They prepared the dowry.","noun"
107,"word","cıba","domuz yavrusu","piglet","Cıba bahçeye girmiş.","Domuz yavrusu bahçeye girmiş.","A piglet entered the garden.","noun"
108,"word","cıkıl","madeni para","coin","Cıkıl bulduk.","Madeni para bulduk.","We found a coin.","noun"
109,"word","cıkla","tamamen","completely","Cıkla yandı.","Tamamen yandı.","It burned completely.","adverb"
110,"word","cılk","bozulmuş","rotten","Bu yumurta cılk olmuş.","Bu yumurta bozulmuş.","This egg has gone rotten.","adjective"
111,"word","cılcı","kavgacı","quarrelsome","O çocuk çok cılcıdır.","O çocuk çok kavgacıdır.","That child is very quarrelsome.","adjective"
112,"word","cıllımak","oyun bozmak","to spoil the game","Oyunda yine cıllımak etti.","Oyunda yine oyun bozdu.","He spoiled the game again.","verb"
113,"word","cırlavuk","ağustos böceği","cicada","Bahçede cırlavuk ötüyor.","Bahçede ağustos böceği ötüyor.","A cicada is chirping in the garden.","noun"
114,"word","cırtık","tırnak izi","scratch mark","Kolunda cırtık vardı.","Kolunda tırnak izi vardı.","There was a scratch mark on her arm.","noun"
115,"word","cızzan","tahtaravelli","seesaw","Çocuklar cızzan oynuyordu.","Çocuklar tahtaravelli oynuyordu.","The kids were playing on the seesaw.","noun"
116,"word","cızzık","çizgi","line","Deftere bir cızzık attı.","Deftere bir çizgi attı.","He drew a line in the notebook.","noun"
117,"word","cilkes","tamamen","completely","Cilkes unuttum.","Tamamen unuttum.","I completely forgot.","adverb"
118,"word","citil","küçük helkecik","small bucket","Citili suyla doldurdu.","Küçük helkeyi suyla doldurdu.","He filled the small bucket with water.","noun"
119,"word","coruk","işe yaramaz","useless","Bu alet coruk.","Bu alet işe yaramaz.","This tool is useless.","adjective"
120,"word","cukkuşu","baykuş","owl","Gece cukkuşu öttü.","Gece baykuş öttü.","An owl hooted at night.","noun"
121,"word","culluk","hindi","turkey","Bahçede bir culluk var.","Bahçede bir hindi var.","There's a turkey in the yard.","noun"
122,"word","cura","kısa boylu","short","O biraz cura.","O biraz kısa boylu.","He is a bit short.","adjective"
123,"word","cuvara","sigara","cigarette","Bir cuvara yaktı.","Bir sigara yaktı.","He lit a cigarette.","noun"
124,"word","cücük","civciv","chick","Bir cücük buldum.","Bir civciv buldum.","I found a chick.","noun"
125,"word","cüvab","cevap","answer","Cüvab ver lütfen.","Cevap ver lütfen.","Please give an answer.","noun"
126,"word","çandır","melez","hybrid","Bu ağaç çandır.","Bu ağaç melez.","This tree is a hybrid.","adjective"
127,"word","çebiş","teke","young goat","Çebiş dağda otluyordu.","Teke dağda otluyordu.","The young goat was grazing in the mountain.","noun"
128,"word","çekke","çekirge","grasshopper","Bahçede çekke zıpladı.","Bahçede çekirge zıpladı.","A grasshopper jumped in the garden.","noun"
129,"word","çelik","ölçek","measure","Bir çelik tuz ekledi.","Bir ölçek tuz ekledi.","He added a measure of salt.","noun"
130,"word","çen","ceviz yarısı","half walnut","Bir çen aldı.","Bir ceviz yarısı aldı.","He took half a walnut.","noun"
131,"word","çepel","bulaşık","dirty dishes","Mutfakta çepel birikmiş.","Mutfakta bulaşık birikmiş.","There are a lot of dirty dishes in the kitchen.","noun"
132,"word","çetil","fidan","sapling","Çetil ekti.","Fidan ekti.","He planted a sapling.","noun"
133,"word","çınkı","tutam","a pinch","Bir çınkı tuz ekle.","Bir tutam tuz ekle.","Add a pinch of salt.","noun"
134,"word","çıtımık","menengiç","terebinth","Çıtımık kahvesi yaptım.","Menengiç kahvesi yaptım.","I made terebinth coffee.","noun"
135,"word","çiğit","pamuk tohumu","cottonseed","Çiğit ekti.","Pamuk tohumu ekti.","He planted cottonseed.","noun"
136,"word","çimmek","yıkanmak","to bathe","Çimmeye gittim.","Yıkanmaya gittim.","I went to bathe.","verb"
137,"word","çinçik","serçe","sparrow","Çinçik pencereye kondu.","Serçe pencereye kondu.","The sparrow perched on the window.","noun"
138,"word","çinke","küçük parça","small piece","Bir çinke kaldı.","Küçük bir parça kaldı.","Only a small piece is left.","noun"
139,"word","çirpeden","bir anda","suddenly","Çirpeden çıktı.","Bir anda çıktı.","He suddenly appeared.","adverb"
140,"word","çitil","sürahi","pitcher","Çitil doluydu.","Sürahi doluydu.","The pitcher was full.","noun"
141,"word","çömçe","büyük tahta kaşık","large wooden spoon","Çömçeyle karıştırdı.","Büyük tahta kaşıkla karıştırdı.","He stirred with a large wooden spoon.","noun"
142,"word","çüven","davulun tokmağı","drum beater","Çüven ile davula vurdu.","Davulun tokmağı ile davula vurdu.","He hit the drum with a beater.","noun"
143,"word","dalaykırı","yukarı doğru","upwards","Çıkarken dalaykırı git.","Çıkarken yukarı doğru git.","Go upwards while ascending.","adverb"
144,"word","dalgeçir","cepken","waistcoat","Dalgeçirini giyip geldi.","Cepkenini giyip geldi.","He came wearing his waistcoat.","noun"
145,"word","dam","ev","house","Akşam dama gideceğiz.","Akşam eve gideceğiz.","We will go home in the evening.","noun"
146,"word","damızlık","tohumluk","breeding","Bu koyun damızlık için ayrıldı.","Bu koyun tohumluk için ayrıldı.","This sheep was set aside for breeding.","noun"
147,"word","dantil","dantel","lace","Annem dantili masaya serdi.","Annem danteli masaya serdi.","My mother laid the lace on the table.","noun"
148,"word","davış","kıpırtı","flutter","Yaprakta bir davış vardı.","Yaprakta bir kıpırtı vardı.","There was a flutter on the leaf.","noun"
149,"word","dayramak","eskimek","to wear out","Bu elbise dayramış.","Bu elbise eskimiş.","This dress has worn out.","verb"
150,"word","debiyak","az önce","just now","Debiyak buradaydı.","Az önce buradaydı.","He was here just now.","adverb"
151,"word","değilcikden","mahsustan","on purpose","Değilcikden yaptı.","Mahsustan yaptı.","He did it on purpose.","adverb"
152,"word","değne","bak","look","Değne şuraya.","Bak şuraya.","Look over there.","verb"
153,"word","dellenme","delirme","go mad","O dellenme geçirdi.","O delirdi.","He went mad.","noun"
154,"word","depik","tekme","kick","Topa depik attı.","Topa tekme attı.","He kicked the ball.","noun"
155,"word","deşirmek","toplamak","to gather","Elmalarını deşirdi.","Elmalarını topladı.","He gathered his apples.","verb"
156,"word","devlisigün","ertesi gün","next day","Devlisigün geldiler.","Ertesi gün geldiler.","They came the next day.","noun"
157,"word","devrede","devirde","era","O devrede yaşadık.","O devirde yaşadık.","We lived in that era.","noun"
158,"word","devrikisinde","ötekisinde","on the other one","Devrikisinde kaldı.","Ötekisinde kaldı.","It stayed on the other one.","noun"
159,"word","dezze","teyze","aunt","Dezzem geldi.","Teyzem geldi.","My aunt came.","noun"
160,"word","dıkıl","gir","enter","İçeri dıkıl.","İçeri gir.","Enter inside.","verb"
161,"word","dıkız","fazla","excessive","Dıkız konuşma.","Fazla konuşma.","Don't talk excessively.","adjective"
162,"word","dırgıl dırgıl","yarık yarık","cracked","Ekmek dırgıl dırgıldı.","Ekmek yarık yarıktı.","The bread was cracked.","adjective"
163,"word","dibek","büyük taş","grindstone","Dibekte dövdü.","Büyük taşta dövdü.","He pounded it on the grindstone.","noun"
164,"word","digrak","sıkı","tight","Kemer digrak bağlanmış.","Kemer sıkı bağlanmış.","The belt was tied tightly.","adjective"
165,"word","dil","anahtar","key","Kapının dili kayboldu.","Kapının anahtarı kayboldu.","The key of the door is lost.","noun"
166,"word","dilbaz","güzel konuşan","eloquent","O çok dilbaz biridir.","O çok güzel konuşan biridir.","He is a very eloquent person.","adjective"
167,"word","dillemek","kilitlemek","to lock","Kapıyı dille.","Kapıyı kilitle.","Lock the door.","verb"
168,"word","dinei","dur","stop","Hemen dinei.","Hemen dur.","Stop immediately.","verb"
169,"word","diniyele","dinle hele","listen up","Diniyele beni.","Dinle hele beni.","Listen up to me.","verb"
170,"word","dombalak","takla","somersault","Çocuk dombalak attı.","Çocuk takla attı.","The child did a somersault.","noun"
171,"word","donuktu","durdu","stopped","Araba donuktu.","Araba durdu.","The car stopped.","verb"
172,"word","dombalak","takla","somersault","Oyun sırasında dombalak attı.","Oyun sırasında takla attı.","He did a somersault during the game.","noun"
173,"word","don","külot","underwear","Donunu giydi.","Külotunu giydi.","He wore his underwear.","noun"
174,"word","döl","oğul","offspring","Bu hayvanın dölleri sağlıklı.","Bu hayvanın oğulları sağlıklı.","This animal's offspring are healthy.","noun"
